Room Name,Room Type,Capacity
BLOCK - 38 (510),BYOD,70
BLOCK - 38 (511),BYOD,70
BLOCK - 38 (512),BYOD,70
BLOCK - 38 (513),BYOD,70
BLOCK - 38 (514),BYOD,70
BLOCK - 38 (515),BYOD,70
BLOCK - 38 (516),BYOD,70
BLOCK - 38 (610),BYOD,70
BLOCK - 38 (611),BYOD,70
BLOCK - 38 (612),BYOD,70
BLOCK - 38 (613),BYOD,70
BLOCK - 38 (614),BYOD,70
BLOCK - 38 (615),BYOD,70
BLOCK - 38 (616),BYOD,70
BLOCK - 38 (617),BYOD,70
BLOCK - 38 (618),BYOD,70
BLOCK - 38 (710),BYOD,70
BLOCK - 38 (711),BYOD,70
BLOCK - 38 (712),BYOD,70
BLOCK - 38 (713),BYOD,70
BLOCK - 38 (714),BYOD,70
BLOCK - 38 (715),BYOD,70
BLOCK - 38 (716),BYOD,70
BLOCK - 38 (717),BYOD,70
BLOCK - 38 (810),BYOD,70
BLOCK - 38 (811),BYOD,70
BLOCK - 38 (812),BYOD,70
BLOCK - 38 (813),BYOD,70
BLOCK - 38 (814),BYOD,70
BLOCK - 38 (815),BYOD,70
BLOCK - 38 (816),BYOD,70
BLOCK - 38 (817),BYOD,70
BLOCK - 38 (818),BYOD,70
BLOCK - 38 (910),BYOD,70
BLOCK - 38 (911),BYOD,70
BLOCK - 38 (912),BYOD,70
BLOCK - 38 (913),BYOD,70
BLOCK - 38 (914),BYOD,70
BLOCK - 38 (915),BYOD,70
BLOCK - 38 (916),BYOD,70
BLOCK - 38 (917),BYOD,70
BLOCK - 36 (918),BYOD,70
BLOCK - 36 (917),BYOD,70
BLOCK - 36 (916),BYOD,70
BLOCK - 36 (915),BYOD,70
BLOCK - 36 (914),BYOD,70
BLOCK - 36 (913),BYOD,70
BLOCK - 36 (912),BYOD,70
BLOCK - 36 (801),BYOD,70
BLOCK - 36 (802),BYOD,70
BLOCK - 36 (803),BYOD,70
BLOCK - 36 (804),BYOD,70
BLOCK - 36 (805),BYOD,70
BLOCK - 36 (806),BYOD,70
BLOCK - 36 (807),BYOD,70
BLOCK - 36 (808),BYOD,70
BLOCK - 36 (809),BYOD,70
BLOCK - 36 (701),BYOD,70
BLOCK - 36 (702),BYOD,70
BLOCK - 36 (703),BYOD,70
BLOCK - 36 (704),BYOD,70
BLOCK - 36 (705),BYOD,70
BLOCK - 36 (706),BYOD,70
BLOCK - 36 (707),BYOD,70
BLOCK - 36 (708),BYOD,70
BLOCK - 36 (609),BYOD,70
BLOCK - 36 (608),BYOD,70
BLOCK - 36 (602),BYOD,70
BLOCK - 38 (401),Lab,35
BLOCK - 38 (402),Lab,35
BLOCK - 38 (403),Lab,35
BLOCK - 38 (404),Lab,35
BLOCK - 38 (405),Lab,35
BLOCK - 38 (406),Lab,35
BLOCK - 38 (407),Lab,35
BLOCK - 38 (408),Lab,35
BLOCK - 38 (409),Lab,35
BLOCK - 38 (501),Lab,35
BLOCK - 38 (502),Lab,35
BLOCK - 38 (503),Lab,35
BLOCK - 38 (504),Lab,35
BLOCK - 38 (505),Lab,35
BLOCK - 38 (506) A,Lab,35
BLOCK - 38 (506) B,Lab,35
