Course Code,Course Title,Semester,L,T,P
CAP101M,PROGRAMME ORIENTATION-I,,2,0,0
CAP170,FUNDAMENTALS OF INFORMATION TECHNOLOGY,,3,0,0
CAP171,FUNDAMENTALS OF INFORMATION TECHNOLOGY- LABORATORY,,0,0,2
CAP172,PROGRAMMING METHODOLOGIES,,3,0,0
CAP173,PROGRAMMING METHODOLOGIES-LABORATORY,,0,0,2
CHE110,ENVIRONMENTAL STUDIES,,2,0,0
MTH136,DISCRETE STRUCTURES,,3,1,0
PEL200,ENGLISH COMMUNICATION SKILLS,,3,1,0
,SKILL ENHANCEMENT COURSE 1,,0,0,0
,SKILL ENHANCEMENT COURSE 1,,0,0,0
CAP213,PRINCIPLES OF OPERATING SYSTEMS,,4,0,0
CAP213,PRINCIPLES OF OPERATING SYSTEMS,,4,0,0
CAP214,FUNDAMENTALS OF WEB PROGRAMMING,,3,0,0
CAP214,FUNDAMENTALS OF WEB PROGRAMMING,,3,0,0
CAP267,DATA STRUCTURES,,3,0,0
CAP267,DATA STRUCTURES,,3,0,0
CAP282,DATA STRUCTURES-LABORATORY,,0,0,2
CAP282,DATA STRUCTURES-LABORATORY,,0,0,2
CAP283,FUNDAMENTALS OF WEB PROGRAMMING-LABORATORY,,0,0,2
CAP283,FUNDAMENTALS OF WEB PROGRAMMING-LABORATORY,,0,0,2
CAP836,RESEARCH METHODOLOGY,,2,0,0
CAP836,RESEARCH METHODOLOGY,,2,0,0
GEN231,COMMUNITY DEVELOPMENT PROJECT,,0,0,4
GEN231,COMMUNITY DEVELOPMENT PROJECT,,0,0,4
PES209,SOFT SKILLS,,2,2,0
PES209,SOFT SKILLS,,2,2,0
,GENERIC ELECTIVE 2,,0,0,0
,SPECIALIZATION ELECTIVE 3,,0,0,0
,SKILL ENHANCEMENT COURSE 3,,0,0,0
,SPECIALIZATION ELECTIVE 2,,0,0,0
,SPECIALIZATION ELECTIVE 2,,0,0,0
,SPECIALIZATION ELECTIVE 3,,0,0,0
,GENERIC ELECTIVE 2,,0,0,0
,SKILL ENHANCEMENT COURSE 3,,0,0,0
ACC204,COST ACCOUNTING,,3,1,0
ACC204,COST ACCOUNTING,,3,1,0
BSL102,COMPANY LAW,,3,1,0
BSL102,COMPANY LAW,,3,1,0
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP460,FUNDAMENTALS OF PYTHON,,2,0,4
CAP460,FUNDAMENTALS OF PYTHON,,2,0,4
CAP473,GAME DEVELOPMENT USING UNITY ENGINE,,2,0,4
CAP473,GAME DEVELOPMENT USING UNITY ENGINE,,2,0,4
CAP474,GAME DEVELOPMENT USING UNREAL ENGINE,,2,0,4
CAP474,GAME DEVELOPMENT USING UNREAL ENGINE,,2,0,4
CAP483,DATA VISUALIZATION,,2,0,4
CAP483,DATA VISUALIZATION,,2,0,4
